algorithm,benchmark,seed,evaluations,best_value,best_candidate
evolution_strategy,rastrigin,100,20000,45.94128172377117,"[-2.006445416689244, 0.025827613614890457, 1.9855442299005635, -1.002984061690651, 0.02525382522354716, -4.023400798418342, 3.0111525369302203, -1.0092676216119076, 1.020629921049939, -2.9567602432220053]"
evolution_strategy,rastrigin,101,20000,41.456704034106636,"[2.026566444245962, 0.990258688312794, -2.0190354459846565, -1.9934109686285233, -1.0164635269394426, -2.053637113268992, 3.00248459045657, 2.956995908576065, -0.004437882690231477, -1.9664923699687742]"
evolution_strategy,rastrigin,102,20000,15.181526804474018,"[1.0549206168983083, 2.0028404496212775, -0.9888554479049694, 1.0038392800467275, 0.001944920245345129, -1.0091185815091999, 0.0192757072329392, 0.9922225669576077, 1.0012492206447896, 1.9467169326697555]"
evolution_strategy,rastrigin,103,20000,47.15921600371025,"[-1.009568697697788, -1.018463827558896, -1.0051203155929798, -0.005254176964258213, 1.0414649373692602, -4.004860848135643, 3.023953149244385, -2.9506452105637937, -1.9961261767614196, 2.0148091238613675]"
evolution_strategy,rastrigin,104,20000,49.78407925664021,"[-3.0281750978761814, -0.9911463686466639, -2.026832925818286, 3.978813119332167, 0.019226654613313857, -1.000447202026555, -0.9840031077343993, 0.9822848139139497, -0.009169973123644934, -3.9449805546554435]"
evolution_strategy,rastrigin,105,20000,32.77379418627228,"[0.9625641198799076, -2.0099358309052646, -0.006136813296161468, 4.017593618526557, 1.9718092083533252, 1.976674252262668, -0.9810216547159956, 1.0093728351469822, -1.0015699970247973, -0.02938803235864173]"
evolution_strategy,rastrigin,106,20000,42.59183150250436,"[-0.9866332729851676, 2.9850207538601072, -1.9459805852904464, -1.009293853997339, -2.0072018257622104, -3.0119346947991508, -0.014873517479046628, 1.9863738943292142, -3.009173918396558, 0.9906599210906111]"
evolution_strategy,rastrigin,107,20000,74.89227905989398,"[-1.986670798792074, 0.02799247455741182, 0.006417287623851648, 1.023475140081444, 5.002400109624107, 1.9436447921897473, -1.9750996604942932, 4.016548686283482, 3.967283770477532, -1.977956130236742]"
evolution_strategy,rastrigin,108,20000,46.87084151769617,"[-1.0435767504843083, -0.9973000593197239, 1.0037144927660113, 2.9409258126411357, 2.969471298888305, 2.996280365545866, 1.9824165452069038, -2.0164242254936084, 1.994748349194955, 1.9806237370637043]"
evolution_strategy,rastrigin,109,20000,37.90727852889073,"[-1.9632753062710389, 2.9852482118492745, -0.038581998526236824, 1.9297063277643716, 0.9746922410650114, 2.938289483097641, 0.011970218508355557, 0.020182297043472366, 0.017652896117092875, 3.022344518519345]"
evolution_strategy,rastrigin,110,20000,33.193448823801646,"[-0.04471160755527831, -2.0244394695054733, -3.9546705027777995, 0.9569385571532742, 0.017146072051791836, 0.9769593307361321, -0.9819135799609872, 2.0179072175071737, 1.9938536075764024, -0.998558348667551]"
evolution_strategy,rastrigin,111,20000,53.146108337381555,"[-1.0280251942212042, -1.9867547880378489, -3.00640228114058, 0.9847789414074246, 4.983851612358013, -0.9850112986651703, 0.9865336973066764, -0.9226130849832813, 0.00241482883626638, -2.9773800656887617]"
evolution_strategy,rastrigin,112,20000,26.040702375972856,"[0.9822845599511559, -0.020056088646550112, -1.0035034255155246, -0.9810713844538491, 1.9217343557977078, -2.0076464497681754, 0.0038225359162997047, 0.03472072070343711, -2.9742753538073226, 1.9267188134678157]"
evolution_strategy,rastrigin,113,20000,20.672180017642034,"[0.9808644671332435, -1.0664114461081216, 0.006948368305870374, 0.9787385961164561, -1.0127082054052388, -1.0349960715722497, -2.984579746683288, 2.0030693078040622, -1.0283890338686328, 0.012619016283491205]"
evolution_strategy,rastrigin,114,20000,61.18036291272812,"[-1.9799765679022148, -2.968840651085386, 1.9654808330896196, -0.06963982591798239, 0.02178627450995184, -4.966795110215166, -0.9917349507129416, -2.982758422160261, 2.009368778968032, -1.9609957626874013]"
evolution_strategy,rastrigin,115,20000,38.64681550296349,"[0.9690621760634797, -1.0331759504002649, -0.9905988364335668, -2.9892944066047447, -1.9822013515729868, 0.043928776452467864, -3.9980297453037665, 0.9434428111169928, 1.9643581881681131, -0.03884836549688421]"
evolution_strategy,rastrigin,116,20000,64.8286775224861,"[0.002048561850560673, -1.014582821760974, 0.032640306889036255, 4.016512735078599, 4.95964303574582, -1.9950025174226655, 3.009379524259816, -0.9837976149990295, -2.0322432167110387, -2.005671022747886]"
evolution_strategy,rastrigin,117,20000,27.855690960942894,"[3.0194551037930255, -1.9989253320740934, 1.9698001730359371, -0.9785959792196378, 1.9248617407883795, -1.023905531114361, -0.9884132059707886, -0.006723390241866065, 0.9931607642871193, -0.9396863208365643]"
evolution_strategy,rastrigin,118,20000,54.74618914175578,"[-3.008791004449456, 3.020598486006845, -0.01076525884563189, 2.9909178849711355, -1.0334944072590915, 1.0189271091264183, 0.029322451880064437, 0.01338987467160014, -3.9834434518172297, 2.9903169834742958]"
evolution_strategy,rastrigin,119,20000,22.4463690668521,"[-0.013846890366771239, -0.995699377085432, 0.9944441530052177, -0.03226812304158223, -0.9691758185283611, -1.9756162541168922, 1.985083452647012, 1.0574528069265565, 3.0271675249288146, -0.006994783926725978]"
