algorithm,benchmark,seed,evaluations,best_value
evolution_strategy,sphere,100,10800,0.009319623890173398
evolution_strategy,sphere,100,10900,0.009319623890173398
evolution_strategy,sphere,100,11000,0.009319623890173398
evolution_strategy,sphere,100,11100,0.009319623890173398
evolution_strategy,sphere,100,11200,0.009319623890173398
evolution_strategy,sphere,100,11300,0.009319623890173398
evolution_strategy,sphere,100,11400,0.009319623890173398
evolution_strategy,sphere,100,11500,0.009319623890173398
evolution_strategy,sphere,100,11600,0.009319623890173398
evolution_strategy,sphere,100,11700,0.009319623890173398
evolution_strategy,sphere,100,11800,0.009319623890173398
evolution_strategy,sphere,100,11900,0.009319623890173398
evolution_strategy,sphere,100,12000,0.009319623890173398
evolution_strategy,sphere,100,12100,0.009319623890173398
evolution_strategy,sphere,100,12200,0.009319623890173398
evolution_strategy,sphere,100,12300,0.009319623890173398
evolution_strategy,sphere,100,12400,0.008393076732084163
evolution_strategy,sphere,100,12500,0.008393076732084163
evolution_strategy,sphere,100,12600,0.008393076732084163
evolution_strategy,sphere,100,12700,0.008393076732084163
evolution_strategy,sphere,100,12800,0.008393076732084163
evolution_strategy,sphere,100,12900,0.008393076732084163
evolution_strategy,sphere,100,13000,0.008393076732084163
evolution_strategy,sphere,100,13100,0.008393076732084163
evolution_strategy,sphere,100,13200,0.008393076732084163
evolution_strategy,sphere,100,13300,0.008393076732084163
evolution_strategy,sphere,100,13400,0.008393076732084163
evolution_strategy,sphere,100,13500,0.008393076732084163
evolution_strategy,sphere,100,13600,0.008393076732084163
evolution_strategy,sphere,100,13700,0.008393076732084163
evolution_strategy,sphere,100,13800,0.008393076732084163
evolution_strategy,sphere,100,13900,0.008393076732084163
evolution_strategy,sphere,100,14000,0.008393076732084163
evolution_strategy,sphere,100,14100,0.008393076732084163
evolution_strategy,sphere,100,14200,0.008393076732084163
evolution_strategy,sphere,100,14300,0.008393076732084163
evolution_strategy,sphere,100,14400,0.008393076732084163
evolution_strategy,sphere,100,14500,0.008393076732084163
evolution_strategy,sphere,100,14600,0.008393076732084163
evolution_strategy,sphere,100,14700,0.008393076732084163
evolution_strategy,sphere,100,14800,0.008393076732084163
evolution_strategy,sphere,100,14900,0.008393076732084163
evolution_strategy,sphere,100,15000,0.008393076732084163
evolution_strategy,sphere,100,15100,0.008393076732084163
evolution_strategy,sphere,100,15200,0.008393076732084163
evolution_strategy,sphere,100,15300,0.008393076732084163
evolution_strategy,sphere,100,15400,0.008393076732084163
evolution_strategy,sphere,100,15500,0.008393076732084163
evolution_strategy,sphere,100,15600,0.008393076732084163
evolution_strategy,sphere,100,15700,0.008393076732084163
evolution_strategy,sphere,100,15800,0.008393076732084163
evolution_strategy,sphere,100,15900,0.008393076732084163
evolution_strategy,sphere,100,16000,0.008393076732084163
evolution_strategy,sphere,100,16100,0.008393076732084163
evolution_strategy,sphere,100,16200,0.008393076732084163
evolution_strategy,sphere,100,16300,0.008393076732084163
evolution_strategy,sphere,100,16400,0.008393076732084163
evolution_strategy,sphere,100,16500,0.008393076732084163
evolution_strategy,sphere,100,16600,0.008393076732084163
evolution_strategy,sphere,100,16700,0.008393076732084163
evolution_strategy,sphere,100,16800,0.008393076732084163
evolution_strategy,sphere,100,16900,0.008393076732084163
evolution_strategy,sphere,100,17000,0.008393076732084163
evolution_strategy,sphere,100,17100,0.008393076732084163
