algorithm,benchmark,seed,evaluations,best_value,best_candidate
simulated_annealing,sphere,100,20000,0.22098695900911552,"[-0.07350216975322113, 0.07230662990744083, 0.20543632864573502, 0.2057439968043738, -0.057468330155636405, 0.07073634591596209, -0.25954726625669516, 0.1616397067833969, -0.030291958198916502, -0.15200474797632085]"
simulated_annealing,sphere,101,20000,0.25853673689530465,"[-0.021819762534188714, 0.08861588744241397, 0.31733891110841367, -0.023086188325519147, -0.24653346096247386, -0.049848688989546946, -0.14333492904098, -0.14015289248805846, 0.10148814485545804, -0.187669083457846]"
simulated_annealing,sphere,102,20000,0.2159279311832117,"[0.33624591493633604, 0.1182026540440746, 0.1281755904843073, 0.17320868017297925, -0.025061733664085317, -0.09942034760684475, 0.01938885155066139, -0.07326806929657131, -0.09189082356823772, -0.13328151617551248]"
simulated_annealing,sphere,103,20000,0.29566243764140554,"[0.21724895316464402, 0.1431317288183976, 0.02466210170679127, -0.0487028519264499, -0.0641977538695353, -0.10545870187082812, 0.07644454114771765, 0.0008378540606739217, 0.11367331859752319, 0.4370234187266204]"
simulated_annealing,sphere,104,20000,0.2447506485986301,"[-0.1612912396306166, 0.05295604997699458, -0.3274362472659686, -0.04483056533783836, -0.007407942033152676, -0.028983925160987356, 0.05383186151464759, 0.06452836234781648, -0.22551663965326588, -0.21884397782649606]"
simulated_annealing,sphere,105,20000,0.2793921673436645,"[-0.16410816943698187, 0.016005826620541397, -0.00483257822855282, 0.33468168189663816, -0.1050039333838951, 0.2035700485582208, -0.2594155213325351, -0.07103852295860219, -0.07576221322292856, -0.0980811881632242]"
simulated_annealing,sphere,106,20000,0.2121369944774068,"[-0.1255552952202961, 0.03419763493262522, -0.024947564293824692, -0.1447406770002066, 0.2584898982852438, 0.15296503400966655, -0.05003204505169362, -0.1808455912143439, 0.14293077752254535, -0.1666681428464347]"
simulated_annealing,sphere,107,20000,0.25044820353351566,"[0.08213947377366781, 0.32756358887381604, -0.03993781759678877, -0.032711465640389376, -0.061358709382275445, 0.3438811558449148, -0.041205613631222986, 0.018767647758347036, -0.0956397921141034, -0.022849480782731774]"
simulated_annealing,sphere,108,20000,0.2467431454962705,"[0.07050984383964062, -0.12844414086131756, 0.031044389692792884, 0.11376272304727453, 0.18372048399275995, 0.012284752576392527, 0.033135697232132444, 0.14964582913031932, -0.26978910161561825, -0.2849311486442458]"
simulated_annealing,sphere,109,20000,0.3113936651734862,"[0.02723236643113461, 0.07281011463224896, 0.19011925214808645, -0.0827082249603686, 0.06670322728490269, -0.021567562832375976, 0.22357389546160078, -0.4298068163996793, 0.13420132824632802, 0.06871031313064863]"
simulated_annealing,sphere,110,20000,0.2255103442137794,"[-0.3277873200821297, -0.01921765477328064, -0.1379883225018049, 0.023199034482244196, 0.0289676549961998, 0.1003109944345045, 0.055887636712779076, -0.13114284946638097, -0.13585974749778415, -0.220082620554914]"
simulated_annealing,sphere,111,20000,0.21150762952655291,"[0.23593711989991162, -0.1040662774149716, -0.020746182684459644, -0.13472080103853915, -0.0949050748148134, 0.014405091793970915, 0.3104626283829881, 0.008290947829311467, -0.13461119070497743, -0.05139047148882378]"
simulated_annealing,sphere,112,20000,0.21788637948029288,"[-0.029891003978736785, 0.04977262716823498, 0.21842911696364098, 0.08240923104764641, -0.06653581255116847, -0.2540155991603288, -0.1220932380938761, -0.1535090415285712, -0.22873037325081616, -0.01651439406930605]"
simulated_annealing,sphere,113,20000,0.23847417873306798,"[0.09791343177196302, -0.060489807327051615, 0.07070449694343706, 0.325257797063355, 0.032439812049940175, 0.11782179017595891, 0.17386383951595372, 0.23208117045933, -0.058733941543201273, -0.1093712278179456]"
simulated_annealing,sphere,114,20000,0.1414161973492581,"[0.16344096570869926, 0.14829962486851359, 0.1537156191364861, -0.030142743518684678, -0.1531830205867466, 0.12557027244959318, -0.07236944058433435, -0.07175612749735444, 0.04461028398390038, 0.12870161796886065]"
simulated_annealing,sphere,115,20000,0.3055826783298146,"[0.15022334850782237, -0.10735073776064441, 0.1671138385179123, -0.3668464011392091, -0.18131873621894523, -0.0033412539325407, -0.0722681518399363, -0.23846199446168015, 0.0634730923803355, -0.09992415038905633]"
simulated_annealing,sphere,116,20000,0.14887158802415185,"[-0.03595428723236177, -0.05296314592642144, -0.06191588505116481, -0.0010489896708964497, -0.015963645319397785, 0.16442332763473505, -0.046876905471802344, -0.12636876264930125, 0.2750136978332508, -0.1408907170396025]"
simulated_annealing,sphere,117,20000,0.23249653045433424,"[0.09419527057248286, -0.02328703604531296, 0.11671020063656523, -0.03706213289956598, -0.19081640235141956, -0.009910786845541267, -0.21236385977887753, -0.33263310682442415, 0.10400281465469878, 0.07083587739595773]"
simulated_annealing,sphere,118,20000,0.19545196248824753,"[0.19583818863721558, -0.046029423589666746, 0.08969323981781344, 0.18676862693839072, 0.017746151775422506, -0.13862308429442496, -0.25124768499599787, -0.02342329902907914, -0.14606917266308, 0.08667019377047266]"
simulated_annealing,sphere,119,20000,0.22961998080986867,"[-0.029936516855436524, -0.24121047591430358, -0.18535346619724416, 0.019964881609440766, 0.10974093144015945, 0.24398503639052646, 0.13602406283132873, 0.036882532813452995, 0.2087354697501974, 0.027958091942468233]"
